id	gamma	Nsteps	stepsize	Nchians	KSD	run_time
1	0.2	10	0.2	15	0.07254757648443871	38.791603365
2	0.2	10	0.2	15	0.22757792840116225	33.134669257
3	0.2	10	0.2	15	0.07192120294169384	33.021908641
1	0.2	10	0.5	15	0.05910386421994455	33.564725882
2	0.2	10	0.5	15	0.05561300326801519	33.586901364
3	0.2	10	0.5	15	0.46791924431607756	32.133688819
1	0.2	10	1.0	15	10.974753161209687	32.621045922
2	0.2	10	1.0	15	6.66241679831831	33.31045164
3	0.2	10	1.0	15	5.696761479216767	31.96086212
1	0.2	20	0.2	15	0.05792449617917214	63.719837409
2	0.2	20	0.2	15	0.07810600341365467	64.284502206
3	0.2	20	0.2	15	1.091053229090495	64.776186951
1	0.2	20	0.5	15	0.27661206268303556	64.023914755
2	0.2	20	0.5	15	7.842571527672567	63.301702876
3	0.2	20	0.5	15	0.05247164650210067	64.405288842
1	0.2	20	1.0	15	1.5501171958674234	64.189815325
2	0.2	20	1.0	15	2.9984446556970976	62.208606768
3	0.2	20	1.0	15	1.7274289333646513	65.232641885
1	0.5	10	0.2	15	0.07492598236050414	32.827104652
2	0.5	10	0.2	15	0.24756950708849126	32.804938178
3	0.5	10	0.2	15	0.44473498791194854	33.627876296
1	0.5	10	0.5	15	0.06562525869222888	33.412221755
2	0.5	10	0.5	15	0.06589325996840505	32.980586902
3	0.5	10	0.5	15	0.07175853519476325	33.25302358
1	0.5	10	1.0	15	4.069080735807684	31.96064497
2	0.5	10	1.0	15	3.919025236699076	33.593444949
3	0.5	10	1.0	15	4.788847639260324	32.958497405
1	0.5	20	0.2	15	0.06525283965466833	65.178386798
2	0.5	20	0.2	15	0.06748074130011388	64.987525739
3	0.5	20	0.2	15	0.1893480185710546	62.919131146
1	0.5	20	0.5	15	6.469768664632068	65.210689388
2	0.5	20	0.5	15	2.7431540728067882	63.789518517
3	0.5	20	0.5	15	1.1659815780364766	63.648400414
1	0.5	20	1.0	15	1.7308148018248972	63.960093891
2	0.5	20	1.0	15	1.8391055900317461	63.838196758
3	0.5	20	1.0	15	1.4909106178780176	64.667801609
1	1.0	10	0.2	15	0.07653235677615103	32.451218239
2	1.0	10	0.2	15	0.2536742100886943	32.267523748
3	1.0	10	0.2	15	0.09974811481684225	34.177161903
1	1.0	10	0.5	15	0.07535444485513797	33.325645003
2	1.0	10	0.5	15	0.08457205290260958	32.794003436
3	1.0	10	0.5	15	0.08183195362657755	34.022618438
1	1.0	10	1.0	15	1.3863321214698021	32.978377699
2	1.0	10	1.0	15	1.8167966870142664	33.084806078
3	1.0	10	1.0	15	3.0189020174576475	33.967582924
1	1.0	20	0.2	15	0.07445310732335325	64.681546353
2	1.0	20	0.2	15	0.07821756787951921	64.22529574
3	1.0	20	0.2	15	0.08257965088759658	64.119553852
1	1.0	20	0.5	15	1.8977988218407118	64.104738254
2	1.0	20	0.5	15	1.7442490565457418	65.92971933
3	1.0	20	0.5	15	1.3008102546154536	63.9390047
1	1.0	20	1.0	15	1.567282633724727	64.413425629
2	1.0	20	1.0	15	1.7515536890924917	64.986716786
3	1.0	20	1.0	15	1.8606858404905688	65.426447839
